Hour,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00,111,119,133,158,296,115,92
01:00,90,81,117,151,132,47,72
02:00,48,89,128,92,64,56,46
03:00,90,108,85,73,128,72,51
04:00,227,174,175,174,245,100,101
05:00,383,429,546,352,440,259,168
06:00,887,823,809,657,674,359,286
07:00,1127,1211,988,935,995,518,573
08:00,1401,1266,1241,1302,1281,687,954
09:00,1551,1511,1319,1486,1396,633,892
10:00,1793,1641,1569,1567,1583,823,1062
11:00,1671,1700,1790,1773,1540,831,1136
12:00,1725,1626,1839,1479,1724,826,1325
13:00,1696,1953,1696,1568,1738,879,1195
14:00,1339,1804,1492,1604,1548,688,1122
15:00,1423,1457,1547,1342,1283,759,989
16:00,1769,1569,1349,1465,1164,702,1063
17:00,1285,1521,1325,1422,926,704,913
18:00,1297,1268,1154,1124,753,554,1029
19:00,1229,983,868,924,650,510,894
20:00,776,643,786,788,547,376,684
21:00,696,501,646,673,498,320,503
22:00,439,463,368,509,315,234,402
23:00,297,265,312,414,165,146,223
